app_dependencies	app_dependencies*	external_services	deployment	steps_to_deploy	logging	monitoring	node_failover	num_of_azs	num_of_regions	region_failover	score	technologies	performance	uif	on_incidents	on_manual_fixes	on_tech_debt
5	21	1	4	1	3	4	4	1	1	3	2	1	0	4	0.222727273	0.118333333	0.119166667
2	7	2	4	1	3	2	3.875	1	1	3.0625	1	1	0	6	0.222727273	0.118333333	0.119166667
1	5	1	4	1	2	6	6	3	3	6	3	1	1	3	0.3	0.1	0.1
1	8	2	3	3	5	6	6	2	2	7	2	1	0	2	0.25	0.1	0
1	8	1	4	2	4	7	9	2	2	7	2	1	0	2	0.25	0.1	0.1
2	7	2	4	1	3	2	3.875	1	1	3.0625	2	1	0	6	0.222727273	0.118333333	0.119166667
1	5	2	5	1	4	1	3.875	1	1	3.0625	2	1	0	6	0.222727273	0.118333333	0.119166667
2	13	1	8	1	4	9	2	3	2	2	2	1	3	4	0.222727273	0.118333333	0.119166667
3	11	2	4	1	0	3	2	1	2	1	1	2	0	2	0.222727273	0.118333333	0.119166667
3	12	2	5	1	1	3	3.875	3	1	3.0625	2	1	0	2	0.222727273	0.05	0.3
3	11	2	4	1	3	4	3	3	1	2	2	2	0	6	0.2	0.1	0.1
3	7	2	6	1	2	5	1	3	2	2	2	1	0	3	0.222727273	0.118333333	0.119166667
4	24	5	6	1	3	2	3.875	3	1	3.0625	1	1	2	2	0.222727273	0.118333333	0.119166667
2	7	2	4	1	3	0	3.875	3	1	3.0625	1	1	0	6	0.222727273	0.118333333	0.119166667
3	19	4	8	1	4	9	2	3	2	2	2	1	3	4	0.222727273	0.118333333	0.119166667
4	21	2	5	10	4	3	6	1	1	0	2	1	1	0	0.1	0.05	0.03
3	15	1	3	1	2	6	6	3	3	6	3	3	1	2	0.3	0.1	0.1
3	0	2	7	1	2	3	3.875	1	1	3.0625	2	1	0	6	0.05	0.02	0.1
2	11	2	5	2	0	3	1	3	1	0	3	1	0	0	0.4	0.4	0.2
3	0	2	4	1	2.52173913	3.913043478	3.875	1	1	3.0625	1	1	0	0	0.222727273	0.118333333	0.119166667
5	25	1	4	5	2	6	6	3	1	4	3	2	0	6	0.3	0.2	0.2
3	12	2	4	1	0	3	2	1	1	2	2	2	0	4	0.222727273	0.118333333	0.119166667
3	0	2	4	5	2	0	4	2	1	4	3	3	0	6	0.3	0.2	0.2
3	0	2	5	2	2	3	2	1	2	1	2	1	0	2	0	0	0
